"filename", "language", "Python", "JavaScript", "Batch", "CSS", "JSON", "Less", "SCSS", "XML", "Django HTML", "Django txt", "comment", "blank", "total"
"/home/amir/Project/ntsw_demo/overseas_supplier/migrations/0008_alter_company_country_alter_company_owner_type_and_more.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"/home/amir/Project/ntsw_demo/overseas_supplier/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/amir/Project/ntsw_demo/overseas_supplier/models.py", "Python", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31, 160
"/home/amir/Project/ntsw_demo/overseas_supplier/templates/overseas_supplier/list.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 7, 176
"/home/amir/Project/ntsw_demo/overseas_supplier/templates/overseas_supplier/partials/company_form.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 109
"/home/amir/Project/ntsw_demo/overseas_supplier/templates/overseas_supplier/partials/person_form.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 1, 139
"/home/amir/Project/ntsw_demo/overseas_supplier/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/amir/Project/ntsw_demo/overseas_supplier/urls.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/amir/Project/ntsw_demo/overseas_supplier/views.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 75
"/home/amir/Project/ntsw_demo/product_identifier/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/amir/Project/ntsw_demo/product_identifier/admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/amir/Project/ntsw_demo/product_identifier/apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/amir/Project/ntsw_demo/product_identifier/migrations/0001_initial.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 68
"/home/amir/Project/ntsw_demo/product_identifier/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/amir/Project/ntsw_demo/product_identifier/models.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 67
"/home/amir/Project/ntsw_demo/product_identifier/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/amir/Project/ntsw_demo/product_identifier/views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/amir/Project/ntsw_demo/requirments.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"/home/amir/Project/ntsw_demo/requirments_dev.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"/home/amir/Project/ntsw_demo/sample/product_identifier/cpc.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/home/amir/Project/ntsw_demo/sample/product_identifier/gtin.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/home/amir/Project/ntsw_demo/sample/product_identifier/hs.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/home/amir/Project/ntsw_demo/sample/product_identifier/isic.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/home/amir/Project/ntsw_demo/sample/product_identifier/mandatory_descriptive_fields.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"/home/amir/Project/ntsw_demo/sample/product_identifier/optional_fields.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.css", "CSS", 0, 0, 0, 3925, 0, 0, 0, 0, 0, 0, 7, 192, 4124
